time,seconds_elapsed,dBFS
1710791202967000000,22.756,-23.91541290283203
1710791203067000000,22.856,-25.333450317382812
1710791203167000000,22.956,-22.046409606933594
1710791203267000000,23.056,-22.75713539123535
1710791203368000000,23.157,-24.62393569946289
1710791203468000000,23.257,-23.73024559020996
1710791203568000000,23.357,-23.214834213256836
1710791203668000000,23.457,-22.804094314575195
1710791203768000000,23.557,-23.42892837524414
1710791203869000000,23.658,-24.95578384399414
1710791203969000000,23.758,-23.549701690673828
1710791204085000000,23.874,-24.515201568603516
1710791204185000000,23.974,-23.635690689086914
1710791204286000000,24.075000244140625,-24.832853317260742
1710791204386000000,24.174999755859375,-23.77903175354004
1710791204486000000,24.275000244140625,-24.09536361694336
1710791204586000000,24.374999755859374,-23.850496292114258
1710791204686000000,24.475000244140624,-23.319238662719727
1710791204786000000,24.574999755859373,-22.899391174316406
1710791204887000000,24.676,-22.334383010864258
1710791204987000000,24.776,-24.32582664489746
1710791205087000000,24.876,-24.636333465576172
1710791205187000000,24.976,-23.39383888244629
1710791205287000000,25.076,-20.799304962158203
1710791205404000000,25.193,-22.78772735595703
1710791205504000000,25.293,-22.660615921020508
1710791205621000000,25.41,-25.081541061401367
1710791205721000000,25.51,-23.971176147460938
1710791205821000000,25.61,-24.641260147094727
1710791205921000000,25.71,-21.628253936767578
1710791206021000000,25.81,-23.262304306030273
1710791206122000000,25.910999755859375,-22.48952293395996
1710791206222000000,26.011000244140625,-24.214494705200195
1710791206322000000,26.110999755859375,-22.718055725097656
1710791206422000000,26.211000244140624,-23.656417846679688
1710791206522000000,26.310999755859374,-22.31819725036621
1710791206622000000,26.411000244140624,-23.216344833374023
1710791206722000000,26.510999755859373,-24.38558006286621
1710791206823000000,26.612,-22.843120574951172
1710791206923000000,26.712,-22.962421417236328
1710791207023000000,26.812,-24.002920150756836
1710791207123000000,26.912,-20.964841842651367
1710791207223000000,27.012,-22.670169830322266
1710791207323000000,27.112,-24.0939998626709
1710791207424000000,27.213,-25.264846801757812
1710791207524000000,27.313,-22.89878273010254
1710791207624000000,27.413,-24.30012321472168
1710791207741000000,27.53,-23.415327072143555
1710791207841000000,27.63,-24.834524154663086
1710791207941000000,27.73,-24.389726638793945
1710791208041000000,27.83,-21.603452682495117
1710791208141000000,27.93,-23.10434913635254
1710791208241000000,28.03,-22.558147430419922
1710791208341000000,28.13,-21.968984603881836
1710791208442000000,28.230999755859376,-23.061445236206055
1710791208542000000,28.331000244140625,-22.284526824951172
1710791208642000000,28.430999755859375,-23.325220108032227
1710791208742000000,28.531000244140625,-21.98276710510254
1710791208842000000,28.630999755859374,-22.09331512451172
1710791208942000000,28.731000244140624,-23.541383743286133
1710791209043000000,28.832,-24.678585052490234
1710791209143000000,28.932,-22.513145446777344
1710791209243000000,29.032,-21.093482971191406
1710791209343000000,29.132,-23.205705642700195
1710791209460000000,29.249,-22.732458114624023
1710791209560000000,29.349,-23.741424560546875
1710791209677000000,29.466,-23.660913467407227
1710791209777000000,29.566,-23.704195022583008
1710791209877000000,29.666,-23.385055541992188
1710791209977000000,29.766,-24.091487884521484
1710791210077000000,29.866,-21.84825325012207
1710791210177000000,29.966,-22.717126846313477
1710791210278000000,30.067000244140626,-24.163198471069336
1710791210378000000,30.166999755859376,-23.354957580566406
1710791210478000000,30.267000244140625,-21.501750946044922
1710791210578000000,30.366999755859375,-23.144128799438477
1710791210678000000,30.467000244140625,-22.205503463745117
1710791210779000000,30.568,-23.468473434448242
1710791210879000000,30.668,-22.603933334350586
1710791210979000000,30.768,-23.951452255249023
1710791211079000000,30.868,-22.2863826751709
1710791211179000000,30.968,-20.519287109375
1710791211279000000,31.068,-22.723384857177734
1710791211379000000,31.168,-21.781408309936523
1710791211479000000,31.268,-23.281383514404297
1710791211580000000,31.369,-22.685319900512695
